年月日,売上
2014/1/1,530500
2014/1/2,590600
2014/1/3,402100
2014/1/4,508700
2014/1/5,583700
2014/1/6,479000
2014/1/7,522500
2014/1/8,458300
2015/1/9,539800
2014/1/10,479700
2014/1/11,549900
2014/1/12,623100
2014/1/13,479400
2014/1/14,413300
2014/1/15,499700
2014/1/16,423900
2014/1/17,567800
2014/1/18,596100
2014/1/19,879600
2014/1/20,596700
2014/1/21,398000
2014/1/22,499500
2014/1/23,580700
2014/1/24,510000
2014/1/25,809100
2014/1/26,577200
2014/1/27,591200
2014/1/28,454700
2014/1/29,459700
2014/1/30,407500
2014/1/31,584200
2014/2/1,783800
2014/2/2,873800
2014/2/3,581000
2014/2/4,519400
2014/2/5,443900
2014/2/6,496100
2014/2/7,457900
2014/2/8,416200
2014/2/9,604000
2014/2/10,458000
2014/2/11,533400
2014/2/12,512500
2014/2/13,420700
2014/2/14,424500
2014/2/15,391300
2014/2/16,938500
2014/2/17,486400
2014/2/18,430500
2014/2/19,505900
2014/2/20,511800
2014/2/21,493800
2014/2/22,712000
2014/2/23,738700
2014/2/24,423900
2014/2/25,518000
2014/2/26,582100
2014/2/27,463500
2014/2/28,414000
2014/3/1,766900
2014/3/2,562500
2014/3/3,472900
2014/3/4,556000
2014/3/5,490100
2014/3/6,492100
2014/3/7,542400
2014/3/8,621800
2014/3/9,588600
2014/3/10,470200
2014/3/11,474700
2014/3/12,441200
2014/3/13,525000
2014/3/14,433500
2014/3/15,863400
2014/3/16,925800
2014/3/17,442400
2014/3/18,490900
2014/3/19,460300
2014/3/20,540800
2014/3/21,683200
2014/3/22,780800
2014/3/23,740800
2014/3/24,489000
2014/3/25,404400
2014/3/26,410800
2014/3/27,573000
2014/3/28,438900
2014/3/29,576500
2014/3/30,531400
2014/3/31,515400
2014/4/1,543300
2014/4/2,518600
2014/4/3,337700
2014/4/4,589300
2014/4/5,722400
2014/4/6,577100
2014/4/7,548600
2014/4/8,493300
2014/4/9,593300
2014/4/10,461500
2014/4/11,508100
2014/4/12,524100
2014/4/13,762300
2014/4/14,459400
2014/4/15,523800
2014/4/16,443900
2014/4/17,540800
2014/4/18,585100
2014/4/19,497400
2014/4/20,580800
2014/4/21,530900
2014/4/22,561900
2014/4/23,434100
2014/4/24,487700
2014/4/25,515000
2014/4/26,705500
2014/4/27,599800
2014/4/28,466800
2014/4/29,580300
2014/4/30,453400
2014/5/1,519800
2014/5/2,442600
2014/5/3,771800
2014/5/4,467000
2014/5/5,776900
2014/5/6,524300
2014/5/7,599800
2014/5/8,446100
2014/5/9,409700
2014/5/10,924000
2014/5/11,706200
2014/5/12,579500
2014/5/13,458600
2014/5/14,401500
2014/5/15,428500
2014/5/16,504600
2014/5/17,497900
2014/5/18,641400
2014/5/19,449900
2014/5/20,470600
2014/5/21,416100
2014/5/22,516500
2014/5/23,495700
2014/5/24,579600
2014/5/25,727400
2014/5/26,589900
2014/5/27,437800
2014/5/28,504800
2014/5/29,447300
2014/5/30,500600
2014/5/31,677600
2014/6/1,667500
2014/6/2,426600
2014/6/3,464200
2014/6/4,555100
2014/6/5,373400
2014/6/6,420500
2014/6/7,457200
2014/6/8,548600
2014/6/9,511900
2014/6/10,515500
2014/6/11,520600
2014/6/12,434300
2014/6/13,587900
2014/6/14,857800
2014/6/15,670900
2014/6/16,491500
2014/6/17,407100
2014/6/18,400100
2014/6/19,408100
2014/6/20,421200
2014/6/21,598500
2014/6/22,652400
2014/6/23,425300
2014/6/24,519000
2014/6/25,569000
2014/6/26,570300
2014/6/27,509400
2014/6/28,610200
2014/6/29,537500
2014/6/30,535200
2014/7/1,480400
2014/7/2,515300
2014/7/3,502900
2014/7/4,543000
2014/7/5,618400
2014/7/6,593600
2014/7/7,438400
2014/7/8,579300
2014/7/9,531500
2014/7/10,444900
2014/7/11,421300
2014/7/12,489800
2014/7/13,605400
2014/7/14,563100
2014/7/15,535300
2014/7/16,424900
2014/7/17,534100
2014/7/18,501700
2014/7/19,527100
2014/7/20,618100
2014/7/21,536200
2014/7/22,403300
2014/7/23,583000
2014/7/24,403200
2014/7/25,416300
2014/7/26,763400
2014/7/27,545300
2014/7/28,520600
2014/7/29,482100
2014/7/30,502700
2014/7/31,452400
2014/8/1,521300
2014/8/2,692000
2014/8/3,797400
2014/8/4,414200
2014/8/5,571000
2014/8/6,419700
2014/8/7,560600
2014/8/8,597800
2014/8/9,566300
2014/8/10,717600
2014/8/11,595000
2014/8/12,464800
2014/8/13,456500
2014/8/14,412800
2014/8/15,546800
2014/8/16,903900
2014/8/17,806900
2014/8/18,405700
2014/8/19,582400
2014/8/20,572700
2014/8/21,422000
2014/8/22,557600
2014/8/23,603500
2014/8/24,606200
2014/8/25,544200
2014/8/26,507500
2014/8/27,550900
2014/8/28,402600
2014/8/29,439300
2014/8/30,585400
2014/8/31,626100
2014/9/1,344300
2014/9/2,470100
2014/9/3,543800
2014/9/4,432300
2014/9/5,427100
2014/9/6,527900
2014/9/7,499400
2014/9/8,413400
2014/9/9,429500
2014/9/10,454600
2014/9/11,564800
2014/9/12,578500
2014/9/13,510600
2014/9/14,465100
2014/9/15,796500
2014/9/16,498800
2014/9/17,558100
2014/9/18,546800
2014/9/19,481400
2014/9/20,591700
2014/9/21,655300
2014/9/22,505800
2014/9/23,612000
2014/9/24,580700
2014/9/25,439600
2014/9/26,460300
2014/9/27,618500
2014/9/28,891100
2014/9/29,441000
2014/9/30,546000
2014/10/1,458300
2014/10/2,511100
2014/10/3,400300
2014/10/4,667400
2014/10/5,248600
2014/10/6,100300
2014/10/7,456500
2014/10/8,557500
2014/10/9,570800
2014/10/10,567000
2014/10/11,532500
2014/10/12,452200
2014/10/13,558900
2014/10/14,480800
2014/10/15,417000
2014/10/16,536900
2014/10/17,531500
2014/10/18,576300
2014/10/19,787700
2014/10/20,430200
2014/10/21,406400
2014/10/22,477600
2014/10/23,527600
2014/10/24,421500
2014/10/25,792700
2014/10/26,892000
2014/10/27,451000
2014/10/28,407400
2014/10/29,512900
2014/10/30,431100
2014/10/31,467400
2014/11/1,897000
2014/11/2,680400
2014/11/3,979100
2014/11/4,403400
2014/11/5,575200
2014/11/6,584200
2014/11/7,446400
2014/11/8,687600
2014/11/9,806200
2014/11/10,564600
2014/11/11,592700
2014/11/12,525800
2014/11/13,454400
2014/11/14,506700
2014/11/15,530900
2014/11/16,742200
2014/11/17,495300
2014/11/18,530900
2014/11/19,428100
2014/11/20,498600
2014/11/21,530400
2014/11/22,514700
2014/11/23,1179500
2014/11/24,765100
2014/11/25,513800
2014/11/26,384900
2014/11/27,553800
2014/11/28,472400
2014/11/29,527900
2014/11/30,642300
2014/12/1,591100
2014/12/2,405200
2014/12/3,571100
2014/12/4,515100
2014/12/5,428100
2014/12/6,567000
2014/12/7,526200
2014/12/8,557600
2014/12/9,421500
2014/12/10,468400
2014/12/11,584100
2014/12/12,592600
2014/12/13,750400
2014/12/14,905300
2014/12/15,446200
2014/12/16,424100
2014/12/17,518300
2014/12/18,530500
2014/12/19,441100
2014/12/20,696700
2014/12/21,698300
2014/12/22,513500
2014/12/23,964400
2014/12/24,414000
2014/12/25,506600
2014/12/26,407500
2014/12/27,624600
2014/12/28,663100
2014/12/29,410200
2014/12/30,446200
2014/12/31,532600
